MODEL,BENCHMARK_CLUSTER_ID,BENCHMARK_TITLE,BENCHMARK_MESSAGE_COUNT,LLM_CLUSTER_ID,LLM_TITLE,LLM_MESSAGE_COUNT,MATCHED_MESSAGES,MISSING_MESSAGES,EXTRA_MESSAGES,OVERLAP_PERCENTAGE,MESSAGE_COUNT_DEVIATION,COVERAGE_PERCENTAGE,PRECISION,RECALL,F1_SCORE
gemini-1.5-flash,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign: Planning & Revisions,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash,fitfusion_rebrand,FitFusion Rebranding,47,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-1.5-flash,technova_launch,TechNova Product Launch,68,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash,greenscape_report,GreenScape Sustainability Report,66,4,"GreenScape Sustainability Report: Content, Design & Legal",37,37,29,0,56.06,-43.94,56.06,100.0,56.06,71.84
gemini-1.5-flash,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy & Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash,q3_content_calendar,Q3 Content Calendar,25,6,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-002,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign: Planning & Client Revisions,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-002,fitfusion_rebrand,FitFusion Rebranding,47,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-1.5-flash-002,technova_launch,TechNova Product Launch,68,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-002,greenscape_report,GreenScape Sustainability Report,66,4,"GreenScape Sustainability Report: Content, Design & Legal",37,37,29,0,56.06,-43.94,56.06,100.0,56.06,71.84
gemini-1.5-flash-002,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy & Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
